Instancia,Nos_Explorados,Cortes_Realizados,Nos_Ignorados,Lower_Bound,Seed,N_Bins,Tempo_Nanosegundos,Tempo_Segundos,Tempo_Minutos
BPP_50_50_0.1_0.7_0.txt,1,1,0,1,0,23,24500,0,0
BPP_50_50_0.1_0.7_1.txt,0,0,0,1,0,21,13500,0,0
BPP_50_50_0.1_0.7_2.txt,14,11,1,1,0,21,68100,0,0
BPP_50_50_0.1_0.7_3.txt,2831926,4907665,2512613,1,0,21,14221605100,14,0
BPP_50_50_0.1_0.7_4.txt,3,2,0,1,0,24,47100,0,0
BPP_50_50_0.1_0.7_5.txt,0,0,0,1,0,19,13600,0,0
BPP_50_50_0.1_0.7_6.txt,0,0,0,1,0,20,15000,0,0
BPP_50_50_0.1_0.7_7.txt,14190243,38520430,40483605,1,0,23,122489310100,122,2
BPP_50_50_0.1_0.7_8.txt,0,0,0,1,0,22,16700,0,0
BPP_50_50_0.1_0.7_9.txt,0,0,0,1,0,22,17900,0,0
BPP_50_50_0.1_0.8_0.txt,27,26,6,1,0,24,243400,0,0
BPP_50_50_0.1_0.8_1.txt,1,1,0,1,0,28,27300,0,0
BPP_50_50_0.1_0.8_2.txt,0,0,0,1,0,25,15400,0,0
BPP_50_50_0.1_0.8_3.txt,1644498,4140887,155652,1,0,21,11751497300,11,0
BPP_50_50_0.1_0.8_4.txt,39888,69211,7115,1,0,24,371430200,0,0
BPP_50_50_0.1_0.8_5.txt,884,857,26,1,0,25,7227300,0,0
BPP_50_50_0.1_0.8_6.txt,0,0,0,1,0,23,17700,0,0
BPP_50_50_0.1_0.8_7.txt,2781,2769,1123,1,0,25,24297300,0,0
BPP_50_50_0.1_0.8_8.txt,220,590,269,1,0,23,1508700,0,0
BPP_50_50_0.1_0.8_9.txt,8,16,9,1,0,24,100200,0,0
BPP_50_50_0.2_0.7_0.txt,0,0,0,1,0,22,17300,0,0
BPP_50_50_0.2_0.7_1.txt,26,23,1,1,0,25,167000,0,0
BPP_50_50_0.2_0.7_2.txt,7865991,24302178,6939754,1,0,22,76959013300,76,1
BPP_50_50_0.2_0.7_3.txt,0,0,0,1,0,22,17200,0,0
BPP_50_50_0.2_0.7_4.txt,687757672,1725630043,873609714,1,0,25,7260000019600,7260,121
BPP_50_50_0.2_0.7_5.txt,720051660,1920989559,1572975466,1,0,24,7260000025600,7260,121
BPP_50_50_0.2_0.7_6.txt,0,0,0,1,0,22,17400,0,0
BPP_50_50_0.2_0.7_7.txt,1,1,0,1,0,26,32400,0,0
BPP_50_50_0.2_0.7_8.txt,3,2,0,1,0,26,49000,0,0
BPP_50_50_0.2_0.7_9.txt,3,2,0,1,0,25,39000,0,0
BPP_50_50_0.2_0.8_0.txt,419,1169,1107,1,0,24,4248700,0,0
BPP_50_50_0.2_0.8_1.txt,0,0,0,1,0,25,17700,0,0
BPP_50_50_0.2_0.8_2.txt,3,2,0,1,0,28,49200,0,0
BPP_50_50_0.2_0.8_3.txt,1,1,0,1,0,27,26500,0,0
BPP_50_50_0.2_0.8_4.txt,85,84,21,1,0,29,767400,0,0
BPP_50_50_0.2_0.8_5.txt,0,0,0,1,0,25,15500,0,0
BPP_50_50_0.2_0.8_6.txt,248,247,94,1,0,27,1851000,0,0
BPP_50_50_0.2_0.8_7.txt,743511550,743497544,358934205,1,0,27,7260000021800,7260,121
BPP_50_50_0.2_0.8_8.txt,1,1,0,1,0,29,30600,0,0
BPP_50_50_0.2_0.8_9.txt,8,5,1,1,0,30,89000,0,0
