Instancia,Nos_Explorados,Cortes_Realizados,Nos_Ignorados,Lower_Bound,Seed,N_Bins,Tempo_Nanosegundos,Tempo_Segundos,Tempo_Minutos
Falkenauer_t60_00.txt,419537922,1966100869,3170802,1,0,20,3137986298700,3137,52
Falkenauer_t60_01.txt,29523121,195352883,55376,1,0,20,225536339600,225,3
Falkenauer_t60_02.txt,1666322,13056763,3203413,1,0,20,13954312200,13,0
Falkenauer_t60_03.txt,210509,1276751,0,1,0,20,1714993900,1,0
Falkenauer_t60_04.txt,622476377,5766727350,1481860,1,0,20,5588520360700,5588,93
Falkenauer_t60_05.txt,332164885,3106041009,306080,1,0,20,3113737126700,3113,51
Falkenauer_t60_06.txt,885725276,5782953499,925203,1,0,21,7260000056200,7260,121
Falkenauer_t60_07.txt,859143959,6894298321,9918850,1,0,21,7260000044900,7260,121
Falkenauer_t60_08.txt,107106193,694263803,20983687,1,0,20,801103425300,801,13
Falkenauer_t60_09.txt,257007388,1239551821,41732,1,0,20,1787552819300,1787,29
Falkenauer_t60_10.txt,494766023,2712079457,0,1,0,20,3764340518300,3764,62
Falkenauer_t60_11.txt,1731695,13394014,1731533,1,0,20,14144935000,14,0
Falkenauer_t60_12.txt,1009034582,4414989960,0,1,0,21,7260000079400,7260,121
Falkenauer_t60_13.txt,988839,9373596,0,1,0,20,9409677100,9,0
Falkenauer_t60_14.txt,9646779,62915793,67509,1,0,20,78950768200,78,1
Falkenauer_t60_15.txt,7655540,69287635,283238,1,0,20,70511114300,70,1
Falkenauer_t60_16.txt,350757,3016465,3661,1,0,20,3044781700,3,0
Falkenauer_t60_17.txt,7753798,59401387,121978,1,0,20,68427903300,68,1
Falkenauer_t60_18.txt,59010159,481522600,2404,1,0,20,516374558300,516,8
Falkenauer_t60_19.txt,1061284,7695880,2007820,1,0,20,7964368700,7,0
